run_date,ticker,rank,final_score,final_status,market_regime_score,trend_score,livermore_breakout_score,volume_price_score,candlestick_score,overheat_score,risk_score,zhuge_orion_score,final_chair_score,main_reason,main_risk,suggested_action_status,analysis_date,front_desk_instruction
2026-06-25,002475.SZ,1,7.38,Watch,9.4,10.0,4.2,7.4,5.0,8.5,7.0,5.5,7.8,BUY_TOP20_MANUAL,ATR elevated at 5.9%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,601138.SH,2,7.29,Watch,9.4,10.0,4.2,8.2,5.6,7.2,6.4,5.5,7.8,BUY_TOP20_MANUAL,ATR elevated at 5.2%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,300308.SZ,3,6.72,Watch,9.4,10.0,4.7,7.2,4.7,5.4,5.2,5.5,7.2,BUY_TOP20_MANUAL,ATR elevated at 5.8%; wide stop distance 21.9%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,688981.SH,4,6.53,High Risk Watch,9.4,10.0,5.6,7.2,6.4,3.1,4.2,5.5,6.3,BUY_TOP20_MANUAL,ATR elevated at 5.4%; very wide stop distance 24.8%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,002938.SZ,5,6.37,High Risk Watch,9.4,10.0,4.2,5.8,5.0,6.5,4.2,5.5,6.6,BUY_TOP20_MANUAL,ATR high at 8.7%; wide stop distance 15.7%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,001309.SZ,6,6.2,High Risk Watch,9.4,10.0,7.5,8.2,6.4,1.0,4.2,5.5,6.4,BUY_TOP20_MANUAL,ATR elevated at 5.8%; very wide stop distance 43.0%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,002371.SZ,7,6.2,High Risk Watch,9.4,10.0,6.5,7.2,5.0,1.2,4.2,5.5,6.0,BUY_TOP20_MANUAL,ATR elevated at 4.6%; very wide stop distance 33.7%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,603986.SH,8,6.2,High Risk Watch,9.4,10.0,6.5,5.8,6.4,1.0,4.2,5.5,5.6,BUY_TOP20_MANUAL,ATR elevated at 5.8%; very wide stop distance 73.0%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,688012.SH,9,6.2,High Risk Watch,9.4,10.0,6.5,7.2,5.0,1.0,4.2,5.5,6.0,BUY_TOP20_MANUAL,ATR elevated at 5.7%; very wide stop distance 42.0%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,000657.SZ,10,5.0,Remove,9.4,10.0,3.3,7.2,5.0,1.0,3.2,5.5,4.0,BUY_TOP20_MANUAL,ATR high at 7.4%; very wide stop distance 57.2%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,000725.SZ,11,5.0,Remove,9.4,10.0,6.5,5.8,5.0,1.7,3.2,5.5,3.9,BUY_TOP20_MANUAL,ATR high at 7.0%; very wide stop distance 48.8%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,002384.SZ,12,5.0,Remove,9.4,10.0,5.6,5.8,6.4,3.1,3.2,5.5,4.1,BUY_TOP20_MANUAL,ATR high at 6.2%; very wide stop distance 31.4%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,002463.SZ,13,5.0,Remove,9.4,10.0,6.5,7.2,6.4,4.6,3.2,5.5,5.8,BUY_TOP20_MANUAL,ATR high at 6.9%; very wide stop distance 30.0%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
2026-06-25,002916.SZ,14,5.0,Remove,9.4,10.0,4.7,5.8,6.4,3.1,3.2,5.5,4.0,BUY_TOP20_MANUAL,ATR high at 6.6%; very wide stop distance 28.3%,BUY_TOP20_MANUAL,2026-06-25,BUY_TOP20_MANUAL
