run_date,ticker,rank,final_score,final_status,market_regime_score,trend_score,livermore_breakout_score,volume_price_score,candlestick_score,overheat_score,risk_score,zhuge_orion_score,final_chair_score,main_reason,main_risk,suggested_action_status,analysis_date,front_desk_instruction
2026-06-30,002384.SZ,1,6.45,High Risk Watch,9.4,10.0,4.7,7.2,6.6,3.6,4.2,5.5,6.3,BUY_TOP20_MANUAL,ATR high at 7.0%; wide stop distance 21.1%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,601066.SH,2,6.25,Wait for Pullback,9.4,10.0,3.3,6.8,4.7,4.2,5.2,5.5,6.4,BUY_TOP20_MANUAL,ATR elevated at 5.2%; wide stop distance 20.5%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,002371.SZ,3,6.2,High Risk Watch,9.4,10.0,6.5,8.2,4.2,1.0,4.2,5.5,6.0,BUY_TOP20_MANUAL,ATR elevated at 4.7%; very wide stop distance 42.8%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,301308.SZ,4,6.2,High Risk Watch,9.4,10.0,5.6,8.2,4.7,1.0,4.2,5.5,6.0,BUY_TOP20_MANUAL,ATR elevated at 6.0%; very wide stop distance 34.7%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,600999.SH,5,6.2,High Risk Watch,9.4,10.0,5.6,8.2,5.0,2.3,4.2,5.5,6.2,BUY_TOP20_MANUAL,ATR elevated at 4.0%; very wide stop distance 22.4%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,688012.SH,6,6.2,High Risk Watch,9.4,10.0,6.5,8.2,5.0,1.0,4.2,5.5,6.1,BUY_TOP20_MANUAL,ATR elevated at 5.7%; very wide stop distance 58.8%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,688041.SH,7,6.2,High Risk Watch,9.4,10.0,6.5,8.2,5.0,1.0,4.2,5.5,6.1,BUY_TOP20_MANUAL,ATR high at 6.3%; wide stop distance 21.4%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,688981.SH,8,6.2,High Risk Watch,9.4,10.0,5.6,8.2,6.4,2.2,4.2,5.5,6.3,BUY_TOP20_MANUAL,ATR elevated at 5.8%; very wide stop distance 23.4%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,300308.SZ,9,6.15,High Risk Watch,9.4,10.0,3.3,5.8,5.0,7.2,3.8,5.5,5.0,BUY_TOP20_MANUAL,ATR high at 6.0%; wide stop distance 16.2%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
2026-06-30,000657.SZ,10,5.0,Remove,9.4,10.0,3.3,7.2,5.0,1.9,2.8,5.5,4.0,BUY_TOP20_MANUAL,ATR high at 8.8%; very wide stop distance 36.4%,BUY_TOP20_MANUAL,2026-06-30,BUY_TOP20_MANUAL
