role_key,role,horizon_days,coefficient_pct_per_within_day_sd,coefficient_bp_per_within_day_sd,coefficient_ci_low_bp,coefficient_ci_high_bp,partial_r2_drop_pct_points,observations,signal_days
trend,Trend Follower,1,0.12532700772598743,12.532700772598742,3.006962640237989,21.839059252258505,0.11050090308219614,7415,296
livermore,Livermore Breakout Trader,1,-0.0012640087769011077,-0.12640087769011077,-12.272481998274296,11.344158692874231,1.080887483376708e-05,7415,296
volume_price,Volume-Price Analyst,1,-0.03765404134595524,-3.7654041345955243,-11.289561648853596,5.362333432792867,0.012121649184541193,7415,296
candlestick,Candlestick Pattern Analyst,1,-0.014767470350325362,-1.4767470350325362,-9.831061043033129,6.617821194540642,0.0020482485504692777,7415,296
overheat,Overheat Auditor,1,-0.07867118496609576,-7.867118496609576,-20.34198338828888,4.021757847338737,0.032852150111579895,7415,296
risk,Risk Manager,1,-0.16178578917278946,-16.178578917278948,-29.45438552517214,-3.2640251774508653,0.13765237834629632,7415,296
trend,Trend Follower,5,0.5169419309005405,51.69419309005405,28.14770133801849,75.01507652970051,0.2787211374085317,7295,292
livermore,Livermore Breakout Trader,5,-0.08926222911493653,-8.926222911493653,-38.36125535901559,20.117592313728927,0.007897213332628716,7295,292
volume_price,Volume-Price Analyst,5,-0.10712007368372958,-10.712007368372959,-32.68304944989394,11.290492539625875,0.014393174865953021,7295,292
candlestick,Candlestick Pattern Analyst,5,0.005016546305528153,0.5016546305528153,-22.45119444459099,20.95814933182758,3.489187754342367e-05,7295,292
overheat,Overheat Auditor,5,-0.36914322292491125,-36.91432229249113,-68.18714663623042,-4.855689168371174,0.10673682391812772,7295,292
risk,Risk Manager,5,-0.4490669528419891,-44.90669528419891,-79.87521528447002,-6.1813295271879625,0.15532252920001302,7295,292
